DOM,SQFT,BEDS,BATHS,AGE,zip_cluster
63,407,1,1.0,125,1830.0
65,711,1,1.0,119,1721.0
36,1004,2,2.0,102,2111.0
19,2234,3,3.5,168,2150.0
59,1946,2,2.5,19,1754.0
7,891,2,1.0,78,2127.0
6,988,2,1.0,43,1880.0
88,1802,2,2.0,5,1757.0
40,1644,3,1.5,116,2129.0
5,778,1,1.0,31,2116.0
8,537,1,1.0,118,2649.0
7,2212,2,2.5,11,1720.0
5,760,1,1.0,88,2155.0
32,370,1,1.0,118,2127.0
38,2021,2,2.5,2,1970.0
53,2358,2,2.5,10,1821.0
19,965,2,2.0,4,2143.0
13,1150,2,2.0,9,1826.0
169,2108,3,1.5,138,1604.0
40,1309,2,2.0,34,1520.0
20,570,0,1.0,66,2119.0
75,1500,2,2.0,34,1913.0
81,936,2,1.5,37,2155.0
53,2300,3,2.5,15,2131.0
56,1246,2,2.0,203,1826.0
330,1484,3,2.5,12,1701.0
19,1338,2,2.0,19,2171.0
38,1147,2,2.0,1813,2054.0
75,1700,2,1.5,33,2093.0
82,1050,2,2.0,3,1527.0
28,1150,2,1.5,31,2368.0
34,1369,2,1.0,32,2118.0
5,1340,2,2.0,36,2135.0
8,1860,3,1.5,71,1970.0
23,1135,2,1.0,98,2375.0
19,910,2,1.0,118,2052.0
55,1500,3,2.5,5,2152.0
17,1508,2,1.5,31,1886.0
198,1700,2,2.0,30,1830.0
62,537,1,1.0,37,1876.0
60,884,2,1.0,78,2766.0
31,2611,2,2.5,17,1844.0
25,910,2,1.0,39,1749.0
58,1252,3,1.5,34,1701.0
510,1319,2,2.5,24,2128.0
64,744,2,1.0,98,1501.0
28,1179,2,2.0,14,1841.0
53,1149,3,1.5,32,2134.0
10,1968,2,2.5,15,1960.0
16,1750,3,2.5,5,1852.0
79,1087,2,2.0,97,2472.0
15,685,2,1.0,47,1970.0
24,1330,2,1.5,34,1821.0
21,3123,3,3.5,28,2127.0
182,2648,3,3.0,118,2472.0
36,1610,2,2.0,32,2155.0
71,1288,2,2.5,3,1860.0
81,590,1,1.0,48,2114.0
22,3516,5,3.5,3,2139.0
18,1650,3,2.5,19,1702.0
41,915,2,1.0,33,1453.0
22,709,1,1.0,55,1721.0
57,690,1,1.0,92,2115.0
63,1386,3,1.0,118,2129.0
21,1164,3,1.0,93,1742.0
5,1675,2,2.0,31,1748.0
24,1529,3,2.0,13,2054.0
23,1368,2,2.0,17,2360.0
265,6100,4,5.0,6,2445.0
21,1737,2,2.5,32,2050.0
22,1023,2,2.0,128,1970.0
113,1080,2,1.5,42,1904.0
64,1364,2,2.0,31,2130.0
11,1960,3,2.5,5,1742.0
84,982,2,1.0,42,1876.0
63,1242,3,1.5,113,2169.0
69,1596,2,1.5,35,1752.0
22,1550,3,2.5,128,2127.0
10,2440,3,3.5,8,2129.0
65,1574,2,1.5,29,2119.0
34,1823,2,2.0,15,2149.0
77,1877,2,2.5,32,1826.0
20,2238,3,3.5,108,2121.0
42,1068,2,1.5,54,2136.0
65,1173,2,1.5,54,1867.0
48,1388,2,2.5,9,2145.0
57,1064,2,2.0,19,2190.0
190,1188,2,1.5,35,1520.0
19,1157,2,1.5,17,2130.0
33,1605,3,2.5,5,2184.0
43,1601,2,1.5,13,1810.0
75,2146,2,1.5,41,2171.0
43,1250,2,2.0,46,2472.0
6,1524,2,1.5,31,2532.0
156,885,1,1.0,158,2128.0
6,907,2,2.0,102,2360.0
12,924,1,1.5,12,1867.0
81,603,1,1.0,39,1835.0
5,771,2,1.0,73,2478.0
26,1398,3,1.5,118,1519.0
29,908,2,1.0,128,1742.0
71,1801,3,1.5,44,2124.0
17,1027,3,1.0,98,2472.0
28,662,1,1.0,119,2360.0
19,810,2,2.0,118,2127.0
21,974,2,1.5,38,2351.0
7,476,0,1.0,13,2151.0
7,1566,3,2.0,98,2114.0
36,1601,3,3.0,97,1902.0
41,2202,3,2.5,2,2127.0
33,698,2,1.0,118,1950.0
21,1864,3,2.0,35,2148.0
40,1367,3,1.5,11,1450.0
78,1250,3,1.5,13,2461.0
18,1944,3,2.5,12,1970.0
7,851,2,1.0,29,2118.0
14,875,2,2.0,12,2472.0
20,2615,3,2.5,20,1453.0
19,1535,3,1.0,103,2467.0
74,1724,4,1.0,111,1970.0
16,1033,3,1.0,113,1907.0
21,2466,4,3.5,5,2116.0
59,1856,3,2.5,15,1867.0
14,1170,2,2.0,43,1550.0
57,1690,3,2.5,138,1747.0
35,1058,2,2.0,13,2021.0
46,902,2,1.0,48,2130.0
19,1190,2,1.5,31,2130.0
62,978,2,2.0,116,1604.0
60,1315,3,1.0,109,1830.0
48,1489,3,2.5,16,2169.0
51,1308,2,2.0,31,2129.0
67,1565,2,2.0,13,1960.0
41,350,1,1.0,119,2190.0
12,1515,2,2.0,98,2127.0
31,784,2,1.0,48,2066.0
13,2038,3,3.5,28,1832.0
76,1315,2,1.5,34,2127.0
49,945,2,2.0,46,2144.0
9,1200,2,1.0,112,2631.0
19,1200,2,1.0,112,2453.0
13,1200,2,1.0,112,2118.0
19,1223,2,1.5,31,1453.0
19,931,1,1.0,108,1757.0
69,1720,3,2.5,35,1520.0
78,1316,2,1.5,34,2139.0
40,2329,3,2.5,7,2215.0
35,2507,2,2.5,10,2139.0
5,1143,3,2.0,22,2478.0
40,1581,2,1.5,12,1810.0
55,600,1,1.0,35,1450.0
19,2046,2,2.5,22,1760.0
33,534,1,1.0,119,1801.0
11,782,1,1.0,48,1545.0
29,1288,2,2.0,14,2360.0
6,2229,2,2.5,5,1778.0
19,1035,2,2.0,33,1906.0
215,1644,4,2.5,14,2370.0
17,1207,1,1.5,138,1520.0
68,808,2,1.0,53,2127.0
25,1778,1,1.0,14,1760.0
2,1467,2,2.5,128,2420.0
55,1016,2,2.0,31,2720.0
35,1228,4,1.0,113,1923.0
20,886,2,1.5,119,2131.0
17,916,2,1.0,100,2169.0
25,916,2,1.0,100,1960.0
322,722,2,1.0,48,2038.0
5,1240,2,1.5,33,1970.0
9,1570,2,1.5,20,2152.0
35,811,1,1.0,20,2720.0
19,750,1,1.0,54,2139.0
27,1416,2,2.0,24,2125.0
19,2260,2,2.5,14,2145.0
9,1123,2,2.0,48,1844.0
62,1188,2,1.5,36,2130.0
37,1001,2,2.0,16,2127.0
31,709,1,1.0,118,1904.0
24,1054,2,1.0,32,2113.0
68,1740,3,2.5,39,2130.0
22,1585,2,2.5,11,1545.0
7,962,2,1.0,48,2110.0
37,965,1,1.0,37,1915.0
46,1154,2,1.0,78,2420.0
35,992,2,1.0,93,2135.0
11,1885,3,2.5,16,2127.0
17,1600,2,1.5,110,2127.0
27,1428,3,2.0,138,2140.0
32,857,3,1.0,88,2190.0
9,904,2,2.0,88,2472.0
28,836,1,1.0,12,2138.0
32,1056,2,1.0,130,2132.0
7,2650,3,2.5,4,1702.0
313,1185,2,1.5,32,1545.0
6,990,2,1.5,45,2139.0
40,1214,2,1.0,94,2446.0
31,1802,2,2.0,38,1760.0
31,1612,2,2.5,32,1940.0
18,868,2,1.0,110,2127.0
35,1058,3,1.0,118,1850.0
14,1232,3,2.5,48,2150.0
15,1210,2,1.5,3,2116.0
64,1261,2,2.0,12,2045.0
4,1255,2,2.0,2,1432.0
24,1155,2,2.0,36,1867.0
30,1971,4,2.5,37,2118.0
29,3056,3,2.5,118,1721.0
81,1145,2,1.5,33,1570.0
21,1456,3,3.0,36,2150.0
52,1986,3,2.5,128,1854.0
29,1328,3,2.5,36,2118.0
28,1755,2,2.5,86,2130.0
22,1088,3,1.0,98,1810.0
143,3304,4,3.5,228,2139.0
52,1575,2,1.5,33,1952.0
52,1250,2,1.5,132,1420.0
27,1054,2,1.0,33,2601.0
59,670,1,1.0,45,2135.0
7,2525,3,2.5,93,2125.0
4,2158,3,2.0,89,2131.0
7,1190,2,1.0,118,2144.0
37,2255,5,1.5,138,2115.0
